ticker,member_rebalance_count,first_missing_member_date,last_missing_member_date,maximum_coverage_gain_pp,candidate_cache,candidate_exists,identity_status,candidate_first_date,candidate_last_date,candidate_cache_sha256,candidate_rows,candidate_adjusted_flag,available_member_dates,candidate_coverage_gain_pp
ALXN,115,2012-06-20,2021-07-14,0.08443479610571485,,,,,,,,,,
JCP,113,2005-01-03,2013-11-25,0.08385967615400847,,,,,,,,,,
MOLX,113,2005-01-03,2013-11-25,0.08385967615400847,,,,,,,,,,
WRK,113,2015-07-29,2024-06-24,0.08263773844132029,,,,,,,,,,
SWN,111,2008-07-02,2017-03-29,0.08206211125588214,,,,,,,,,,
BMC,110,2005-01-03,2013-08-30,0.08163228969503321,,,,,,,,,,
WIN,110,2006-08-04,2015-04-06,0.08157559333222009,,,,,,,,,,
HCBK,110,2007-02-27,2015-10-22,0.08153708562555279,,,,,,,,,,
PCP,109,2007-06-21,2016-01-20,0.08076661024712396,,,,,,,,,,
DTV,108,2006-12-27,2015-06-30,0.0800787836801883,,,,,,,,,,
APOL,107,2005-01-03,2013-06-06,0.07940490323605795,,,,,,,,,,
HNZ,107,2005-01-03,2013-06-06,0.07940490323605795,,,,,,,,,,
KSU,108,2013-06-06,2021-12-03,0.0791772552518653,,,,,,,,,,
DNB,105,2008-12-22,2017-03-29,0.0776147927772187,,,,,,,,,,
BIG,103,2005-01-03,2013-02-11,0.07643355772458894,,,,,,,,,,
FII,101,2005-01-03,2012-12-12,0.07494863341860544,FHI,False,NOT_YET_VALIDATED,,,,,,,
ANSS,102,2017-06-23,2025-07-09,0.07462599204274427,,,,,,,,,,
ATVI,102,2015-09-24,2023-10-04,0.07455927197077089,,,,,,,,,,
RRD,100,2005-01-03,2012-11-13,0.0742061712656137,,,,,,,,,,
BTUUQ,99,2006-11-28,2014-09-12,0.07343081922350313,,,,,,,,,,
LXK,98,2005-01-03,2012-09-14,0.07272124695963018,,,,,,,,,,
GR,96,2005-01-03,2012-07-19,0.07123632265364668,,,,,,,,,,
CVH,96,2005-09-20,2013-04-10,0.0712183417153863,,,,,,,,,,
DISCK,97,2014-08-14,2022-03-30,0.07096908801366145,,,,,,,,,,
HSH,95,2005-01-03,2012-06-20,0.07049386050065494,,,,,,,,,,
PGN,95,2005-01-03,2012-06-20,0.07049386050065494,,,,,,,,,,
DO,95,2009-03-20,2016-09-07,0.07028708485087042,,,,,,,,,,
NVLS,94,2005-01-03,2012-05-22,0.06975139834766318,,,,,,,,,,
MJN,94,2010-01-05,2017-05-25,0.0694540431505086,,,,,,,,,,
DF,90,2006-04-11,2013-05-08,0.0667605749984318,,,,,,,,,,
TWC,90,2009-04-20,2016-05-13,0.06662479699284829,,,,,,,,,,
