Date,Open,High,Low,Close,Adj Close,Volume,Name,Company Name,date,cash_dividend,canonical_factor,vendor_adjustment_factor
2020-01-23,46.22999954223633,46.77000045776367,45.56999969482422,46.20000076293945,43.59727096557617,2276900.0,HFC,HollyFrontier,2020-01-23,0.0,1.0432427318983442,0.9436638581302551
2020-01-24,46.02000045776367,46.66999816894531,45.61000061035156,46.529998779296875,43.90867614746094,2736500.0,HFC,HollyFrontier,2020-01-24,0.0,1.0432427318983442,0.9436638147301591
2020-01-27,45.38999938964844,45.650001525878906,43.939998626708984,44.130001068115234,41.64389419555664,3119600.0,HFC,HollyFrontier,2020-01-27,0.0,1.0432427318983442,0.9436640196604289
2020-01-28,44.34000015258789,46.2599983215332,43.93000030517578,45.599998474121094,43.03107070922851,8197600.0,HFC,HollyFrontier,2020-01-28,0.0,1.0432427318983442,0.9436638629198529
2020-01-29,45.93000030517578,46.599998474121094,45.0099983215332,45.97999954223633,43.38966369628906,8655500.0,HFC,HollyFrontier,2020-01-29,0.0,1.0432427318983442,0.9436638566390625
2020-01-30,45.310001373291016,46.349998474121094,44.470001220703125,45.189998626708984,42.64417266845703,1753900.0,HFC,HollyFrontier,2020-01-30,0.0,1.0432427318983442,0.943663951413637
2020-01-31,44.59000015258789,45.209999084472656,44.5099983215332,44.91999816894531,42.389381408691406,2087400.0,HFC,HollyFrontier,2020-01-31,0.0,1.0432427318983442,0.9436639166649965
2020-02-03,45.0,45.0,42.689998626708984,43.13999938964844,40.709659576416016,1781400.0,HFC,HollyFrontier,2020-02-03,0.0,1.0432427318983442,0.9436638885577827
2020-02-04,43.91999816894531,44.349998474121094,42.09000015258789,42.7400016784668,40.33219909667969,2054500.0,HFC,HollyFrontier,2020-02-04,0.0,1.0432427318983442,0.9436639567798566
2020-02-05,43.439998626708984,44.7599983215332,43.43000030517578,44.310001373291016,41.81374740600586,1647500.0,HFC,HollyFrontier,2020-02-05,0.0,1.0432427318983442,0.9436638706856408
2020-02-06,44.310001373291016,44.56999969482422,43.40999984741211,43.439998626708984,40.99275588989258,1508300.0,HFC,HollyFrontier,2020-02-06,0.0,1.0432427318983442,0.9436638394525242
2020-02-07,43.13999938964844,44.0,42.880001068115234,43.52000045776367,41.06825256347656,1142500.0,HFC,HollyFrontier,2020-02-07,0.0,1.0432427318983442,0.9436638816981048
2020-02-10,43.189998626708984,43.630001068115234,42.939998626708984,43.38999938964844,40.94557189941406,1224900.0,HFC,HollyFrontier,2020-02-10,0.0,1.0432427318983442,0.9436638044568043
2020-02-11,43.790000915527344,44.59000015258789,43.47999954223633,44.45000076293945,41.94586563110352,1359800.0,HFC,HollyFrontier,2020-02-11,0.0,1.0432427318983442,0.9436640025004505
2020-02-12,45.220001220703125,45.4900016784668,44.470001220703125,44.79999923706055,42.27614212036133,1635600.0,HFC,HollyFrontier,2020-02-12,0.0,1.0432427318983442,0.9436639026857087
2020-02-13,44.709999084472656,44.84000015258789,43.439998626708984,43.58000183105469,41.124874114990234,3226300.0,HFC,HollyFrontier,2020-02-13,0.0,1.0432427318983442,0.9436638913972015
2020-02-14,43.810001373291016,44.0,42.5099983215332,43.31999969482422,40.8795166015625,2506900.0,HFC,HollyFrontier,2020-02-14,0.0,1.0432427318983442,0.94366382478176
2020-02-18,43.08000183105469,43.279998779296875,42.27000045776367,42.52000045776367,40.12459182739258,1392300.0,HFC,HollyFrontier,2020-02-18,0.0,1.0432427318983442,0.9436639556777399
2020-02-19,42.619998931884766,43.0099983215332,42.04999923706055,42.81999969482422,40.407684326171875,1511000.0,HFC,HollyFrontier,2020-02-19,0.0,1.0432427318983442,0.9436638163044189
2020-02-20,40.810001373291016,42.97999954223633,39.630001068115234,42.61000061035156,40.20951843261719,2929700.0,HFC,HollyFrontier,2020-02-20,0.0,1.0432427318983442,0.9436638783536837
2020-02-21,42.41999816894531,43.2599983215332,41.61000061035156,43.029998779296875,40.94215774536133,2318600.0,HFC,HollyFrontier,2020-02-21,0.35,1.0517283225681746,0.9514794075490406
2020-02-24,40.959999084472656,41.31999969482422,39.41999816894531,39.86000061035156,37.925968170166016,2661600.0,HFC,HollyFrontier,2020-02-24,0.0,1.0517283225681746,0.9514793675220546
2020-02-25,40.0,40.150001525878906,37.790000915527344,38.130001068115234,36.279911041259766,4453200.0,HFC,HollyFrontier,2020-02-25,0.0,1.0517283225681746,0.9514794131909287
2020-02-26,38.20000076293945,38.45000076293945,35.939998626708984,35.97999954223633,34.23422622680664,3786000.0,HFC,HollyFrontier,2020-02-26,0.0,1.0517283225681746,0.9514793402545669
2020-02-27,35.0,35.0,32.25,32.36000061035156,30.789875030517575,3897800.0,HFC,HollyFrontier,2020-02-27,0.0,1.0517283225681746,0.9514794329351242
2020-02-28,31.719999313354492,33.72999954223633,31.219999313354492,33.68000030517578,32.04582595825195,4501200.0,HFC,HollyFrontier,2020-02-28,0.0,1.0517283225681746,0.9514793844383459
2020-03-02,34.36000061035156,34.439998626708984,32.22999954223633,34.040000915527344,32.38835906982422,3502300.0,HFC,HollyFrontier,2020-03-02,0.0,1.0517283225681746,0.9514793830410936
2020-03-03,34.0,35.06999969482422,32.43000030517578,33.11000061035156,31.503480911254883,4490100.0,HFC,HollyFrontier,2020-03-03,0.0,1.0517283225681746,0.9514793213687102
2020-03-04,33.540000915527344,33.650001525878906,32.33000183105469,32.790000915527344,31.199010848999023,2684800.0,HFC,HollyFrontier,2020-03-04,0.0,1.0517283225681746,0.9514794137814456
2020-03-05,31.75,32.83000183105469,30.520000457763672,30.84000015258789,29.34362411499023,3112200.0,HFC,HollyFrontier,2020-03-05,0.0,1.0517283225681746,0.9514793764528534
2020-03-06,29.770000457763672,30.020000457763672,28.18000030517578,28.61000061035156,27.221824645996097,3665000.0,HFC,HollyFrontier,2020-03-06,0.0,1.0517283225681746,0.951479345168095
2020-03-09,26.040000915527344,26.729999542236328,24.09000015258789,24.100000381469727,22.930654525756836,7556100.0,HFC,HollyFrontier,2020-03-09,0.0,1.0517283225681746,0.9514794258421676
2020-03-10,25.5,26.3700008392334,22.940000534057617,23.8700008392334,22.711814880371097,4639100.0,HFC,HollyFrontier,2020-03-10,0.0,1.0517283225681746,0.9514794336764885
2020-03-11,22.809999465942383,24.1299991607666,21.459999084472656,22.1200008392334,21.046724319458008,4903400.0,HFC,HollyFrontier,2020-03-11,0.0,1.0517283225681746,0.9514793635146812
